Serving HTTP on 127.0.0.1 port 8099 (http://127.0.0.1:8099/) ...
127.0.0.1 - - [10/Sep/2026 07:39:01] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/confetti.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/sound.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/kitten.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/balloon.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/logbook.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/reward.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/dragdrop.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/puzzle.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:02] "GET /js/missing.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:03] "GET /data/definitions.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:14] "GET /js/logbook.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /missing.html HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /css/kitten.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /css/missing.css HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /data/words.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/letters.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/dictionary.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/speech.js HTTP/1.1" 200 -
127.0.0.1 - - [10/Sep/2026 07:39:29] "GET /js/confetti.js HTTP/1.1" 200 -
