# Age-of-acquisition ratings: the average age, in years, at which people
# report having learned a word.
#
# Kuperman, V., Stadthagen-Gonzalez, H., & Brysbaert, M. (2012).
# Age-of-acquisition ratings for 30,000 English words.
# Behavior Research Methods 44(4), 978-990.
#
# This is the subset republished in the CLDF/NoRaRe cross-linguistic norms
# collection (concepticon/norare-data, Kuperman-2012-AoA), which covers the
# basic vocabulary rather than the full 30,000 - which is the half that
# matters here anyway. Vendored so the dictionary build stays offline and
# reproducible.
#
# word age
abacus 8.69
abandon 8.32
ability 8.84
abortion 13.21
above 4.55
abstain 12.95
abuse 8.61
accompany 10.75
accordion 8.61
accuse 9.10
ache 5.79
acorn 5.95
acquire 9.94
acquit 13.22
across 6.64
active 6.53
activity 6.47
add 5.10
admit 7.56
adobe 12.22
adult 4.68
adultery 11.84
affair 10.94
afford 7.47
aflame 11.22
after 6.00
afternoon 4.65
afterwards 7.71
again 5.78
against 7.97
agave 14.57
age 4.38
agree 7.68
agreement 8.16
air 3.94
airplane 3.94
albatross 11.64
alcohol 9.00
alcoholic 9.95
all 4.24
alligator 4.78
allow 5.32
almond 7.67
alone 4.94
altar 7.16
aluminum 7.26
always 6.26
amazing 5.22
ambulance 6.16
ambush 9.30
amount 6.63
amulet 11.53
anaconda 10.06
ancestor 8.61
anchor 5.72
and 4.57
anger 6.00
angry 4.45
animal 2.89
ankle 4.89
annatto 14.71
announce 9.48
annoy 7.22
annoyed 7.72
answer 5.43
ant 4.32
anteater 8.50
antelope 8.39
anthill 7.00
anus 11.17
anvil 10.79
anxiety 8.17
anxious 10.21
appear 6.67
appearance 8.83
apple 4.15
approach 8.50
apricot 6.15
apron 6.75
arch 8.26
area 6.58
argue 4.61
arise 6.89
arm 3.26
armadillo 8.61
armband 10.00
armor 7.17
armpit 6.00
army 7.15
arrange 8.28
arrive 6.26
arrow 6.07
arson 11.20
artery 13.06
artichoke 10.00
ascend 10.67
ashamed 7.11
ashes 7.06
ashtray 5.95
ask 2.89
asparagus 6.79
aspen 10.04
assassin 11.28
assemble 8.72
astringent 13.89
at 4.04
attach 6.39
attack 6.58
attentive 9.37
august 5.65
aunt 3.80
authority 7.50
autumn 6.00
avocado 9.29
avoid 8.50
awaken 7.17
awl 10.75
axe 6.11
axle 10.85
baboon 9.11
baby 3.84
back 5.31
backward 5.76
bad 2.79
badger 8.74
bag 4.28
bait 7.11
bake 5.50
baker 6.04
bald 7.26
baldhead 6.17
ball 2.90
balloon 4.37
bamboo 9.28
banana 3.78
bandicoot 13.42
bank 6.44
banyan 10.75
barefooted 5.37
bark 5.17
barley 9.80
barn 4.50
barrel 7.72
barter 10.72
base 6.42
basket 5.67
bastard 10.45
bat 4.85
bathe 5.00
bathtub 3.22
battery 5.58
battle 6.95
bay 8.67
be 5.11
beach 4.80
bead 5.63
beak 5.42
beam 8.78
bean 3.42
bear 3.58
beard 4.84
beast 5.74
beat 6.15
beautiful 5.72
beaver 5.21
because 4.44
become 5.85
bed 2.89
bedbug 6.78
bedroom 3.90
bee 5.00
beech 11.69
beef 6.58
beehive 7.47
beer 6.11
beeswax 8.50
beetle 5.32
before 5.45
beg 5.78
beget 14.20
beggar 7.63
begin 4.84
beginning 5.40
behind 4.90
beige 7.74
belch 6.22
belief 7.30
believe 5.78
bell 3.89
bellows 13.19
belly 4.05
belongings 9.17
below 5.84
belt 4.62
bench 4.21
bend 5.56
benefit 9.17
berry 5.21
beside 7.22
betray 9.39
between 5.47
beverage 6.63
bewitch 10.61
bicycle 4.26
big 2.89
bile 11.67
bill 6.42
billion 8.37
birch 10.84
bird 3.52
birth 5.21
birthday 2.85
birthmark 6.85
bison 8.11
bit 6.47
bitch 10.11
bite 3.58
bitter 8.81
black 3.56
blackboard 5.42
blacken 9.05
blacksmith 9.84
bladder 10.78
blade 6.72
blame 6.48
bland 8.35
blanket 3.61
bleed 4.28
bless 5.33
blind 7.00
blink 5.63
